,0,1
598,흄,-9.79051
599,읍,-9.80036
600,Y,-9.81031
601,싣,-9.81031
602,빙,-9.82036
603,권,-9.85113
604,특,-9.85113
605,끊,-9.86161
606,헤,-9.86161
607,닫,-9.87219
608,멈,-9.90462
609,칠,-9.90462
610,웃,-9.92685
611,묻,-9.93815
612,밖,-9.96114
613,x,-9.97283
614,꺽,-9.97283
615,벗,-9.97283
616,농,-9.98467
617,답,-9.98467
618,윤,-9.98467
619,탱,-9.98467
620,색,-9.99664
621,킷,-9.99664
622,늘,-10.0088
623,땅,-10.021
624,먹,-10.0335
625,껴,-10.046
626,윈,-10.046
627,흥,-10.046
628,뚝,-10.0588
629,쉬,-10.0588
630,텔,-10.0588
631,꺼,-10.0717
632,잭,-10.0717
633,d,-10.0847
634,삽,-10.0847
635,홈,-10.0847
636,겹,-10.098
637,렸,-10.1114
638,쏠,-10.1114
639,홍,-10.1114
640,칙,-10.125
641,낌,-10.1528
642,또,-10.1528
643,앤,-10.1528
644,촌,-10.1528
645,륜,-10.1814
646,슈,-10.196
647,웨,-10.196
648,캐,-10.196
649,닐,-10.2108
650,님,-10.2411
651,런,-10.2411
652,옷,-10.2723
653,핑,-10.2723
654,흉,-10.2723
655,갔,-10.2883
656,꺾,-10.2883
657,칸,-10.2883
658,깊,-10.3211
659,뇌,-10.3211
660,빈,-10.3211
661,책,-10.3379
662,녹,-10.355
663,션,-10.355
664,젖,-10.355
665,짝,-10.355
666,총,-10.355
667,큰,-10.355
668,꼬,-10.3724
669,늦,-10.3724
670,”,-10.3901
671,끈,-10.3901
672,왔,-10.3901
673,획,-10.3901
674,氏,-10.4081
675,냉,-10.4081
676,벤,-10.4081
677,흘,-10.4081
678,랙,-10.4265
679,빌,-10.4265
680,빨,-10.4265
681,셔,-10.4265
682,십,-10.4265
683,옴,-10.4265
684,궤,-10.4452
685,릅,-10.4452
686,늄,-10.4642
687,령,-10.4837
688,징,-10.5035
689,텐,-10.5035
690,혔,-10.5035
691,랑,-10.5443
692,엠,-10.5443
693,숭,-10.5653
694,찬,-10.5653
695,춤,-10.5868
696,펫,-10.5868
697,w,-10.6088
698,란,-10.6088
699,례,-10.6088
700,긁,-10.6313
701,닝,-10.6313
702,므,-10.6313
703,욕,-10.6313
704,익,-10.6313
705,좁,-10.6313
706,>,-10.6543
707,v,-10.6543
708,겠,-10.6543
709,액,-10.6543
710,찾,-10.6543
711,낮,-10.6778
712,씩,-10.7019
713,엑,-10.7019
714,캡,-10.7019
715,틱,-10.7019
716,괜,-10.7266
717,찮,-10.7266
718,※,-10.7519
719,럽,-10.7519
720,범,-10.7519
721,뽑,-10.7519
722,희,-10.7519
723,놀,-10.7779
724,든,-10.7779
725,뚫,-10.7779
726,많,-10.7779
727,찌,-10.7779
728,뿜,-10.8046
729,윗,-10.8046
730,슨,-10.832
731,탕,-10.832
732,납,-10.8601
733,랫,-10.8601
734,솔,-10.8601
735,f,-10.8891
736,걷,-10.8891
737,낀,-10.8891
738,둘,-10.8891
739,팩,-10.8891
740,→,-10.919
741,릉,-10.919
742,뿌,-10.919
743,웅,-10.919
744,칭,-10.919
745,튼,-10.919
746,J,-10.9497
747,“,-10.9815
748,극,-10.9815
749,꽃,-10.9815
750,쏟,-10.9815
751,쯤,-10.9815
752,턴,-10.9815
753,펼,-10.9815
754,×,-11.0143
755,깁,-11.0143
756,논,-11.0143
757,룸,-11.0143
758,죽,-11.0143
759,곤,-11.0482
760,샌,-11.0482
761,콤,-11.0482
762,킨,-11.0482
763,튐,-11.0482
764,’,-11.0833
765,긋,-11.0833
766,꽂,-11.0833
767,델,-11.0833
768,딧,-11.0833
769,밝,-11.0833
770,첨,-11.0833
771,춘,-11.0833
772,텍,-11.0833
773,펴,-11.0833
774,쪼,-11.1196
775,폴,-11.1196
776,픈,-11.1196
777,·,-11.1574
778,中,-11.1574
779,겼,-11.1574
780,났,-11.1574
781,좋,-11.1966
782,춰,-11.1966
783,곽,-11.2374
784,될,-11.2374
785,_,-11.28
786,‘,-11.28
787,몇,-11.28
788,뭇,-11.28
789,뻗,-11.28
790,숏,-11.28
791,쌍,-11.28
792,쓸,-11.28
793,펜,-11.28
794,`,-11.3244
795,눕,-11.3244
796,듣,-11.3244
797,듬,-11.3244
798,듯,-11.3244
799,떠,-11.3244
800,롯,-11.3244
801,쐐,-11.3244
802,왕,-11.3244
803,큐,-11.3244
804,탁,-11.3244
805,효,-11.3244
806,ᄃ,-11.371
807,깥,-11.371
808,댐,-11.371
809,붓,-11.371
810,섬,-11.371
811,싸,-11.371
812,콧,-11.371
813,펀,-11.371
814,폰,-11.371
815,훼,-11.371
816,굽,-11.4198
817,꿰,-11.4198
818,닦,-11.4198
819,돕,-11.4198
820,룡,-11.4198
